# file: Allelelist_history.txt
# date: 2025-12-10
# version: IPD-KIR 2.15.0
# origin: https://github.com/ANHIG/IPDKIR/Allelelist_history.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/Allelelist_history.txt
# author: IPD Team (ipdsubs@anthonynolan.org)
KIR_ID,2150,2140,2130,2120,2110,2100,2090,2080,2071,2070,2060,2050,2040,2030,2020,2010,2001,2000,1040,1030,1021,1020,1011,1010,1000
KIR00011,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002,KIR2DL2*002
KIR00012,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*0030101,KIR2DL2*003,KIR2DL2*003,KIR2DL2*003,KIR2DL2*003,KIR2DL2*003,KIR2DL2*003,KIR2DL2*003,KIR2DL2*003,KIR2DL2*003
KIR00013,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004,KIR2DL2*004
KIR00014,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*0010101,KIR2DL3*001,KIR2DL3*001,KIR2DL3*001,KIR2DL3*001,KIR2DL3*001,KIR2DL3*001,KIR2DL3*001,KIR2DL3*001,KIR2DL3*001,KIR2DL3*001
KIR00015,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*0020101,KIR2DL3*002,KIR2DL3*002,KIR2DL3*002,KIR2DL3*002,KIR2DL3*002,KIR2DL3*002,KIR2DL3*002,KIR2DL3*002,KIR2DL3*002,KIR2DL3*002
KIR00016,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003,KIR2DL3*003
KIR00017,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004,KIR2DL3*004
KIR00018,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*00501,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005,KIR2DL3*005
KIR00019,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006,KIR2DL3*006
KIR00020,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101,KIR2DL4*00101
KIR00021,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*0010201,KIR2DL4*00102,KIR2DL4*00102,KIR2DL4*00102,KIR2DL4*00102,KIR2DL4*00102,KIR2DL4*00102,KIR2DL4*00102,KIR2DL4*00102,KIR2DL4*00102,KIR2DL4*00102
KIR00022,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201,KIR2DL4*00201
KIR00023,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202,KIR2DL4*00202
KIR00024,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003,KIR2DL4*003
KIR00025,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004,KIR2DL4*004
KIR00026,KIR2DL4*0050101,KIR2DL4*0050101,KIR2DL4*0050101,KIR2DL4*0050101,KIR2DL4*0050101,KIR2DL4*0050101,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*00501,KIR2DL4*005,KIR2DL4*005,KIR2DL4*005,KIR2DL4*005,KIR2DL4*005
KIR00027,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601,KIR2DL4*00601
KIR00028,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007,KIR2DL4*007
KIR00029,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*0010101,KIR2DL5A*001,KIR2DL5A*001,KIR2DL5A*001,KIR2DL5A*001,KIR2DL5A*001,KIR2DL5A*001,KIR2DL5A*001
KIR00030,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*0020101,KIR2DL5B*002,KIR2DL5B*002,KIR2DL5B*002,KIR2DL5B*002,KIR2DL5B*002,KIR2DL5B*002,KIR2DL5B*002
KIR00031,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003,KIR2DL5B*003
KIR00032,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004,KIR2DL5B*004
KIR00033,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001,KIR2DS1*001
KIR00034,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*0020101,KIR2DS1*002,KIR2DS1*002,KIR2DS1*002,KIR2DS1*002,KIR2DS1*002,KIR2DS1*002,KIR2DS1*002
KIR00035,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*00301,KIR2DS1*003,KIR2DS1*003,KIR2DS1*003,KIR2DS1*003,KIR2DS1*003,KIR2DS1*003,KIR2DS1*003
KIR00036,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004,KIR2DS1*004
KIR00037,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*0010101,KIR2DS2*00101,KIR2DS2*00101,KIR2DS2*00101,KIR2DS2*00101,KIR2DS2*00101,KIR2DS2*00101,KIR2DS2*00101
KIR00038,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002,KIR2DS2*002
KIR00039,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003,KIR2DS2*003
KIR00040,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004,KIR2DS2*004
KIR00041,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005,KIR2DS2*005
KIR00042,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101,KIR2DS3*00101
KIR00043,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102,KIR2DS3*00102
KIR00044,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*0010301,KIR2DS3*00103,KIR2DS3*00103,KIR2DS3*00103,KIR2DS3*00103,KIR2DS3*00103,KIR2DS3*00103,KIR2DS3*00103,KIR2DS3*00103,KIR2DS3*00103,KIR2DS3*00103
KIR00045,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101,KIR2DS4*0010101
KIR00046,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102,KIR2DS4*00102
KIR00048,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*0030101,KIR2DS4*003,KIR2DS4*003,KIR2DS4*003,KIR2DS4*003,KIR2DS4*003,KIR2DS4*003,KIR2DS4*003,KIR2DS4*003,KIR2DS4*003
KIR00049,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001,KIR2DS5*001
