# file: Allelelist.txt
# date: 2022-12-12
# version: IPD-KIR 2.12.0
# origin: https://github.com/ANHIG/IPDKIR/Allelelist.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/Allelelist.txt
# author: Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
AlleleID,Allele
KIR01130,KIR2DL1*0030229
KIR01131,KIR2DL1*0030230
KIR01132,KIR2DL1*0030231
KIR01170,KIR2DL1*0030232
KIR01174,KIR2DL1*0030233
KIR01175,KIR2DL1*0030234
KIR01176,KIR2DL1*0030235
KIR01177,KIR2DL1*0030236
KIR01178,KIR2DL1*0030237
KIR01179,KIR2DL1*0030238
KIR01180,KIR2DL1*0030239
KIR01181,KIR2DL1*0030240
KIR01184,KIR2DL1*0030241
KIR01185,KIR2DL1*0030242
KIR01186,KIR2DL1*0030243
KIR00005,KIR2DL1*00303
KIR00897,KIR2DL1*00304
KIR00898,KIR2DL1*00305
KIR00957,KIR2DL1*00306
KIR01173,KIR2DL1*00307
KIR01625,KIR2DL1*00308
KIR01627,KIR2DL1*00309
KIR00006,KIR2DL1*0040101
KIR00007,KIR2DL1*0040102
KIR01052,KIR2DL1*0040103
KIR01053,KIR2DL1*0040104
KIR01062,KIR2DL1*0040105
KIR01069,KIR2DL1*0040106
KIR01074,KIR2DL1*0040107
KIR01079,KIR2DL1*0040108
KIR01084,KIR2DL1*0040109
KIR01085,KIR2DL1*0040110
KIR01090,KIR2DL1*0040111
KIR01094,KIR2DL1*0040112
KIR01104,KIR2DL1*0040113
KIR01108,KIR2DL1*0040114
KIR01123,KIR2DL1*0040115
KIR01189,KIR2DL1*0040116
KIR01172,KIR2DL1*0040117
KIR00203,KIR2DL1*00402
KIR00330,KIR2DL1*00403
KIR00982,KIR2DL1*00404
KIR01171,KIR2DL1*00405
KIR01623,KIR2DL1*00406
KIR00008,KIR2DL1*005
KIR00009,KIR2DL1*00601
KIR00764,KIR2DL1*00602
KIR00200,KIR2DL1*007
KIR00201,KIR2DL1*008
KIR00202,KIR2DL1*009
KIR00214,KIR2DL1*010
KIR00329,KIR2DL1*01101
KIR00396,KIR2DL1*01102
KIR00331,KIR2DL1*01201
KIR00574,KIR2DL1*01202
KIR00332,KIR2DL1*013N
KIR00333,KIR2DL1*014
KIR00334,KIR2DL1*015
KIR00349,KIR2DL1*016
KIR00350,KIR2DL1*017
KIR00351,KIR2DL1*018
KIR00352,KIR2DL1*019
KIR00518,KIR2DL1*020
KIR00519,KIR2DL1*021
KIR00577,KIR2DL1*02201
KIR00956,KIR2DL1*02202
KIR00575,KIR2DL1*023
KIR00576,KIR2DL1*024
KIR00617,KIR2DL1*025
KIR00677,KIR2DL1*026
KIR00798,KIR2DL1*027
KIR00799,KIR2DL1*028
KIR00800,KIR2DL1*029
KIR00817,KIR2DL1*030
KIR00818,KIR2DL1*031
KIR00865,KIR2DL1*0320101N
KIR01566,KIR2DL1*0320102N
KIR01565,KIR2DL1*0320103N
KIR00899,KIR2DL1*033
KIR00900,KIR2DL1*034
KIR00954,KIR2DL1*035
KIR00955,KIR2DL1*036
KIR00980,KIR2DL1*0370101
KIR01550,KIR2DL1*0370102
KIR00981,KIR2DL1*038
KIR01538,KIR2DL1*039
KIR01541,KIR2DL1*040
KIR01571,KIR2DL1*041
KIR01533,KIR2DL1*042
KIR01558,KIR2DL1*0430101
KIR01553,KIR2DL1*0430102
KIR01532,KIR2DL1*044
KIR01564,KIR2DL1*0450101N
KIR01569,KIR2DL1*0450102N
KIR01570,KIR2DL1*0450103N
KIR01568,KIR2DL1*046
KIR01567,KIR2DL1*0470101
KIR01548,KIR2DL1*0470102
KIR01534,KIR2DL1*048
KIR01535,KIR2DL1*049
KIR01536,KIR2DL1*050
KIR01562,KIR2DL1*0510101
KIR01540,KIR2DL1*0510102
KIR01539,KIR2DL1*052
KIR01542,KIR2DL1*053
KIR01543,KIR2DL1*0540101
KIR01537,KIR2DL1*0540102
KIR01544,KIR2DL1*055
KIR01545,KIR2DL1*056
KIR01547,KIR2DL1*057
KIR01551,KIR2DL1*058
KIR01555,KIR2DL1*0590101
KIR01556,KIR2DL1*0590102
KIR01557,KIR2DL1*060
KIR01559,KIR2DL1*061
KIR01560,KIR2DL1*062
KIR01561,KIR2DL1*063
KIR01549,KIR2DL1*0640101
KIR01546,KIR2DL1*0640102
KIR01585,KIR2DL1*065
KIR01597,KIR2DL1*066
KIR01599,KIR2DL1*067
KIR01603,KIR2DL1*068
KIR01628,KIR2DL1*069
KIR01620,KIR2DL1*070
KIR01624,KIR2DL1*071
KIR01612,KIR2DL1*072
KIR01616,KIR2DL1*073
KIR01617,KIR2DL1*074
KIR01682,KIR2DL1*075
KIR01683,KIR2DL1*076
KIR01684,KIR2DL1*077
KIR00010,KIR2DL2*0010101
KIR00405,KIR2DL2*0010102
KIR00407,KIR2DL2*0010103
KIR00410,KIR2DL2*0010104
KIR00618,KIR2DL2*0010105
KIR00645,KIR2DL2*0010106
KIR00630,KIR2DL2*0010107
KIR00324,KIR2DL2*00102
KIR00850,KIR2DL2*00103
KIR00011,KIR2DL2*002
KIR00012,KIR2DL2*0030101
KIR00316,KIR2DL2*0030102
KIR00335,KIR2DL2*0030103
KIR00406,KIR2DL2*0030104
KIR00408,KIR2DL2*0030105
KIR00409,KIR2DL2*0030106
KIR00411,KIR2DL2*0030107
KIR01089,KIR2DL2*0030108
KIR00587,KIR2DL2*00302
KIR00653,KIR2DL2*00303
KIR00654,KIR2DL2*00304
KIR00013,KIR2DL2*004
KIR00096,KIR2DL2*005
KIR00325,KIR2DL2*00601
KIR00326,KIR2DL2*00602
KIR00328,KIR2DL2*007
KIR00584,KIR2DL2*008
KIR00585,KIR2DL2*009
KIR00586,KIR2DL2*010
KIR00661,KIR2DL2*011
KIR00678,KIR2DL2*012
KIR00765,KIR2DL2*013
KIR00984,KIR2DL2*014
KIR00985,KIR2DL2*015
KIR01691,KIR2DL2*016
KIR00014,KIR2DL3*0010101
KIR00412,KIR2DL3*0010102
KIR00413,KIR2DL3*0010103
KIR00415,KIR2DL3*0010104
KIR00416,KIR2DL3*0010105
KIR00417,KIR2DL3*0010106
KIR00418,KIR2DL3*0010107
KIR00419,KIR2DL3*0010108
KIR00619,KIR2DL3*0010109
KIR00631,KIR2DL3*0010110
KIR00657,KIR2DL3*0010111
KIR01064,KIR2DL3*0010112
KIR01072,KIR2DL3*0010113
KIR01080,KIR2DL3*0010114
KIR01101,KIR2DL3*0010115
KIR00566,KIR2DL3*00102
KIR00569,KIR2DL3*00103
KIR00656,KIR2DL3*00104
KIR00671,KIR2DL3*00105
KIR00689,KIR2DL3*00106
KIR00691,KIR2DL3*00107
KIR00695,KIR2DL3*00108
KIR00732,KIR2DL3*00109
KIR00734,KIR2DL3*00110
KIR01618,KIR2DL3*00111
KIR01621,KIR2DL3*00112
KIR00015,KIR2DL3*0020101
KIR00435,KIR2DL3*0020102
KIR00646,KIR2DL3*0020103
KIR00016,KIR2DL3*003
KIR00017,KIR2DL3*004
KIR00018,KIR2DL3*00501
KIR00806,KIR2DL3*00502
KIR01681,KIR2DL3*00503
KIR00019,KIR2DL3*006
KIR00128,KIR2DL3*007
KIR00313,KIR2DL3*008N
KIR00314,KIR2DL3*009
KIR00414,KIR2DL3*010
KIR00567,KIR2DL3*011
KIR00568,KIR2DL3*01201
KIR00660,KIR2DL3*01202
KIR00570,KIR2DL3*013
KIR00571,KIR2DL3*014
KIR00588,KIR2DL3*015
KIR00589,KIR2DL3*016
KIR00655,KIR2DL3*017
KIR00659,KIR2DL3*01801
KIR00895,KIR2DL3*01802
KIR00687,KIR2DL3*019
KIR00693,KIR2DL3*020
KIR00697,KIR2DL3*021
KIR00683,KIR2DL3*022
KIR00703,KIR2DL3*023
KIR00704,KIR2DL3*024
KIR00733,KIR2DL3*025
KIR00735,KIR2DL3*026
KIR00736,KIR2DL3*027
KIR00737,KIR2DL3*028
KIR00738,KIR2DL3*029
KIR00739,KIR2DL3*030
KIR00740,KIR2DL3*031
KIR00741,KIR2DL3*032
KIR00849,KIR2DL3*033
KIR00879,KIR2DL3*034
KIR00945,KIR2DL3*035
KIR01116,KIR2DL3*036
KIR01614,KIR2DL3*037
KIR00020,KIR2DL4*00101
KIR00021,KIR2DL4*0010201
KIR00424,KIR2DL4*0010202
KIR01133,KIR2DL4*0010203
KIR00112,KIR2DL4*0010301
KIR00115,KIR2DL4*0010302
KIR00420,KIR2DL4*0010303
KIR00421,KIR2DL4*0010304
KIR00422,KIR2DL4*0010305
KIR00423,KIR2DL4*0010306
KIR00425,KIR2DL4*0010307
KIR00620,KIR2DL4*0010308
KIR01134,KIR2DL4*0010309
KIR00119,KIR2DL4*00104
KIR00129,KIR2DL4*00105
KIR00969,KIR2DL4*00106
KIR01135,KIR2DL4*00107
KIR01613,KIR2DL4*00108
KIR00022,KIR2DL4*00201
KIR00023,KIR2DL4*00202
KIR00024,KIR2DL4*003
KIR00025,KIR2DL4*004
KIR00026,KIR2DL4*0050101
KIR01136,KIR2DL4*0050102
KIR01137,KIR2DL4*0050103
KIR01138,KIR2DL4*0050104
KIR01139,KIR2DL4*0050105
KIR01140,KIR2DL4*0050106
KIR01141,KIR2DL4*0050107
KIR00901,KIR2DL4*00503
KIR00902,KIR2DL4*00504
KIR00027,KIR2DL4*00601
KIR00130,KIR2DL4*0060201
KIR01142,KIR2DL4*0060202
KIR00913,KIR2DL4*00603
KIR01143,KIR2DL4*00604
KIR00028,KIR2DL4*007
KIR00109,KIR2DL4*0080101
KIR00110,KIR2DL4*0080102
KIR00117,KIR2DL4*0080103
KIR00213,KIR2DL4*0080104
KIR00436,KIR2DL4*0080105
KIR01144,KIR2DL4*0080106
KIR01145,KIR2DL4*0080107
KIR01146,KIR2DL4*0080108
KIR00111,KIR2DL4*0080201
KIR00116,KIR2DL4*0080202
KIR00437,KIR2DL4*0080203
KIR00647,KIR2DL4*0080204
KIR01147,KIR2DL4*0080205
KIR01148,KIR2DL4*0080206
KIR01149,KIR2DL4*0080207
KIR01150,KIR2DL4*0080208
KIR01151,KIR2DL4*00803
KIR01152,KIR2DL4*0080401
KIR01153,KIR2DL4*0080402
KIR01154,KIR2DL4*00805
KIR00118,KIR2DL4*00901
KIR00520,KIR2DL4*00902
KIR00114,KIR2DL4*010
KIR00113,KIR2DL4*0110101
KIR01155,KIR2DL4*0110102
KIR01156,KIR2DL4*0110103
KIR01595,KIR2DL4*0110104
KIR00991,KIR2DL4*01102
KIR00212,KIR2DL4*01201
KIR00593,KIR2DL4*01202
KIR00512,KIR2DL4*013
KIR00521,KIR2DL4*014
KIR00522,KIR2DL4*015
KIR00523,KIR2DL4*016
KIR00591,KIR2DL4*017
KIR00592,KIR2DL4*018
KIR00594,KIR2DL4*019
KIR00595,KIR2DL4*020
KIR00596,KIR2DL4*021
KIR00590,KIR2DL4*022
KIR00668,KIR2DL4*023
KIR00670,KIR2DL4*024
KIR00672,KIR2DL4*025
KIR00674,KIR2DL4*026
KIR00675,KIR2DL4*027
KIR00748,KIR2DL4*028
KIR00826,KIR2DL4*029
KIR00830,KIR2DL4*030
KIR00828,KIR2DL4*031
KIR00904,KIR2DL4*032
KIR00905,KIR2DL4*033
KIR00903,KIR2DL4*034
KIR00909,KIR2DL4*035
KIR00912,KIR2DL4*036
KIR00914,KIR2DL4*037
KIR00928,KIR2DL4*038
KIR00967,KIR2DL4*039
KIR00968,KIR2DL4*040
KIR00990,KIR2DL4*041
KIR01157,KIR2DL4*042
KIR01158,KIR2DL4*043
KIR01159,KIR2DL4*044
KIR01160,KIR2DL4*045
KIR01161,KIR2DL4*046
KIR01162,KIR2DL4*047
KIR01163,KIR2DL4*048
KIR01164,KIR2DL4*049
KIR01165,KIR2DL4*050
KIR01166,KIR2DL4*051
KIR01167,KIR2DL4*052
KIR01168,KIR2DL4*053
KIR01169,KIR2DL4*054
KIR01586,KIR2DL4*055
KIR01582,KIR2DL4*056
KIR01601,KIR2DL4*057
KIR01602,KIR2DL4*058
KIR01690,KIR2DL4*059
KIR00029,KIR2DL5A*0010101
KIR00300,KIR2DL5A*0010102
KIR00439,KIR2DL5A*0010103
KIR01039,KIR2DL5A*0010104
KIR01041,KIR2DL5A*0010105
KIR01217,KIR2DL5A*0010106
KIR00259,KIR2DL5A*00102
KIR00260,KIR2DL5A*00103
KIR00262,KIR2DL5A*00104
KIR00263,KIR2DL5A*00105
KIR01201,KIR2DL5A*00106
KIR01214,KIR2DL5A*00107
KIR01218,KIR2DL5A*00108
KIR01196,KIR2DL5A*0010901
KIR01219,KIR2DL5A*0010902
KIR00095,KIR2DL5A*0050101
KIR00249,KIR2DL5A*0050102
KIR00438,KIR2DL5A*0050103
KIR00440,KIR2DL5A*0050104
KIR01209,KIR2DL5A*0050105
KIR00391,KIR2DL5A*01201
KIR00389,KIR2DL5A*01202
KIR00536,KIR2DL5A*014
KIR00537,KIR2DL5A*015
KIR00882,KIR2DL5A*0210101
KIR01221,KIR2DL5A*0210102
KIR01222,KIR2DL5A*0210103
KIR00907,KIR2DL5A*022
KIR00992,KIR2DL5A*0230101
KIR01199,KIR2DL5A*0230102
KIR00993,KIR2DL5A*024
KIR01191,KIR2DL5A*025
KIR01194,KIR2DL5A*026
KIR01195,KIR2DL5A*027
KIR01202,KIR2DL5A*028
KIR01210,KIR2DL5A*029
KIR01213,KIR2DL5A*030
KIR01220,KIR2DL5A*031
KIR01223,KIR2DL5A*032N
KIR01200,KIR2DL5A*0330101
KIR01212,KIR2DL5A*0330102
KIR01215,KIR2DL5A*0340101
KIR01216,KIR2DL5A*0340102
KIR01588,KIR2DL5A*040
KIR01687,KIR2DL5A*042
KIR00030,KIR2DL5B*0020101
KIR00248,KIR2DL5B*0020102
KIR00301,KIR2DL5B*0020103
KIR00394,KIR2DL5B*0020104
KIR00524,KIR2DL5B*0020106
KIR00632,KIR2DL5B*0020107
KIR01095,KIR2DL5B*0020108
KIR01197,KIR2DL5B*0020109
KIR01198,KIR2DL5B*0020110
KIR01204,KIR2DL5B*0020111
KIR00535,KIR2DL5B*0020201
KIR00972,KIR2DL5B*0020202
KIR00802,KIR2DL5B*00203
KIR00994,KIR2DL5B*00204
KIR01193,KIR2DL5B*00205
KIR00031,KIR2DL5B*003
KIR00032,KIR2DL5B*004
KIR00125,KIR2DL5B*00601
KIR00267,KIR2DL5B*00602
KIR00393,KIR2DL5B*00603
KIR00126,KIR2DL5B*0070101
KIR00525,KIR2DL5B*0070102
KIR00244,KIR2DL5B*0080101
KIR00395,KIR2DL5B*0080102
KIR00266,KIR2DL5B*00802
KIR00682,KIR2DL5B*00803
KIR00805,KIR2DL5B*00804
KIR00946,KIR2DL5B*00805
KIR00245,KIR2DL5B*009
KIR00264,KIR2DL5B*010
KIR00265,KIR2DL5B*011
KIR00390,KIR2DL5B*01301
KIR00392,KIR2DL5B*01302
KIR00534,KIR2DL5B*01303
KIR00801,KIR2DL5B*01304
KIR00538,KIR2DL5B*016
KIR00664,KIR2DL5B*017
KIR00684,KIR2DL5B*018
KIR00803,KIR2DL5B*019
KIR00804,KIR2DL5B*020
KIR01205,KIR2DL5B*035
KIR01206,KIR2DL5B*036
KIR01208,KIR2DL5B*037
KIR01190,KIR2DL5B*038
KIR01207,KIR2DL5B*0390101
KIR01203,KIR2DL5B*0390102
KIR01596,KIR2DL5B*041
KIR00052,KIR2DP1*00101
KIR00127,KIR2DP1*0010201
KIR00649,KIR2DP1*0010202
KIR00634,KIR2DP1*0010203
KIR00694,KIR2DP1*00103
KIR00053,KIR2DP1*0020101
KIR00293,KIR2DP1*0020102
KIR00442,KIR2DP1*0020103
KIR00443,KIR2DP1*0020104
KIR00444,KIR2DP1*0020105
KIR00445,KIR2DP1*0020106
KIR00621,KIR2DP1*0020107
KIR00633,KIR2DP1*0020108
KIR00625,KIR2DP1*0020109
KIR00474,KIR2DP1*0020110
KIR00690,KIR2DP1*00202
KIR00880,KIR2DP1*00203
KIR00892,KIR2DP1*00204
KIR00242,KIR2DP1*0030101
KIR00648,KIR2DP1*0030102
KIR00473,KIR2DP1*004
KIR00475,KIR2DP1*006
KIR00476,KIR2DP1*007
KIR00477,KIR2DP1*008
KIR00478,KIR2DP1*009
KIR00622,KIR2DP1*010
KIR00692,KIR2DP1*011
KIR00686,KIR2DP1*012
KIR00688,KIR2DP1*013
KIR00685,KIR2DP1*014
KIR00861,KIR2DP1*015
KIR00881,KIR2DP1*016
KIR00884,KIR2DP1*017
KIR00886,KIR2DP1*018
KIR00894,KIR2DP1*019
KIR00949,KIR2DP1*020
KIR00950,KIR2DP1*021
KIR00951,KIR2DP1*022
KIR00952,KIR2DP1*023
KIR00953,KIR2DP1*024
KIR00033,KIR2DS1*001
KIR00034,KIR2DS1*0020101
KIR00298,KIR2DS1*0020102
KIR00296,KIR2DS1*0020103
KIR00426,KIR2DS1*0020104
KIR00427,KIR2DS1*0020105
KIR00428,KIR2DS1*0020106
KIR01251,KIR2DS1*0020107
KIR01252,KIR2DS1*0020108
KIR01253,KIR2DS1*0020109
KIR01254,KIR2DS1*0020110
KIR01255,KIR2DS1*0020111
KIR01256,KIR2DS1*0020112
KIR01257,KIR2DS1*0020113
KIR01258,KIR2DS1*0020114
KIR01259,KIR2DS1*0020115
KIR01260,KIR2DS1*0020116
KIR01261,KIR2DS1*0020117
KIR01262,KIR2DS1*0020118
KIR00255,KIR2DS1*00202
KIR00035,KIR2DS1*00301
KIR00254,KIR2DS1*00302
KIR00036,KIR2DS1*004
KIR00252,KIR2DS1*00501
KIR00256,KIR2DS1*00502
KIR00253,KIR2DS1*006
KIR00271,KIR2DS1*008
KIR00797,KIR2DS1*009
KIR01572,KIR2DS1*010
KIR01573,KIR2DS1*011
KIR01574,KIR2DS1*0120101
KIR01575,KIR2DS1*0120102
KIR01576,KIR2DS1*013
KIR00037,KIR2DS2*0010101
KIR00302,KIR2DS2*0010102
KIR00270,KIR2DS2*0010103
KIR00336,KIR2DS2*0010104
KIR00446,KIR2DS2*0010105
KIR00447,KIR2DS2*0010106
KIR00448,KIR2DS2*0010107
KIR00449,KIR2DS2*0010108
KIR00450,KIR2DS2*0010109
KIR00451,KIR2DS2*0010110
KIR00623,KIR2DS2*0010111
KIR00635,KIR2DS2*0010112
KIR01266,KIR2DS2*0010113
KIR01270,KIR2DS2*0010114
KIR01272,KIR2DS2*0010115
KIR01273,KIR2DS2*0010116
KIR01274,KIR2DS2*0010117
KIR01275,KIR2DS2*0010118
KIR01276,KIR2DS2*0010119
KIR01277,KIR2DS2*0010120
KIR01278,KIR2DS2*0010121
KIR01280,KIR2DS2*0010122
KIR01282,KIR2DS2*0010123
KIR01285,KIR2DS2*0010124
KIR01286,KIR2DS2*0010125
KIR01288,KIR2DS2*0010126
KIR01292,KIR2DS2*0010127
KIR01293,KIR2DS2*0010128
KIR01294,KIR2DS2*0010129
KIR01303,KIR2DS2*0010130
KIR00097,KIR2DS2*00102
KIR00098,KIR2DS2*00103
KIR00211,KIR2DS2*00104
KIR00973,KIR2DS2*00105
KIR01263,KIR2DS2*00106
KIR01291,KIR2DS2*0010701
KIR01287,KIR2DS2*0010702
KIR00038,KIR2DS2*002
KIR00039,KIR2DS2*003
KIR00040,KIR2DS2*004
KIR00041,KIR2DS2*005
KIR00337,KIR2DS2*00601
KIR01283,KIR2DS2*00602
KIR00530,KIR2DS2*007
KIR00531,KIR2DS2*008
KIR00906,KIR2DS2*0090101
KIR01297,KIR2DS2*0090102
KIR01264,KIR2DS2*010
KIR01265,KIR2DS2*011
KIR01268,KIR2DS2*012
KIR01271,KIR2DS2*013
KIR01279,KIR2DS2*014
KIR01281,KIR2DS2*015
KIR01284,KIR2DS2*016
KIR01289,KIR2DS2*017
KIR01298,KIR2DS2*018
KIR01301,KIR2DS2*019
KIR01267,KIR2DS2*0200101
KIR01299,KIR2DS2*0200102
KIR01300,KIR2DS2*0200103
KIR01302,KIR2DS2*0200104
KIR01269,KIR2DS2*0210101
KIR01290,KIR2DS2*0210102
KIR01295,KIR2DS2*0210103
KIR01609,KIR2DS2*022
KIR00042,KIR2DS3*00101
KIR00043,KIR2DS3*00102
KIR00044,KIR2DS3*0010301
KIR00636,KIR2DS3*0010302
KIR01310,KIR2DS3*0010303
KIR01311,KIR2DS3*0010304
KIR01243,KIR2DS3*0010305
KIR01315,KIR2DS3*0010306
KIR01316,KIR2DS3*0010307
KIR01318,KIR2DS3*0010308
KIR01322,KIR2DS3*0010309
KIR01323,KIR2DS3*0010310
KIR01325,KIR2DS3*0010311
KIR01326,KIR2DS3*0010312
KIR01231,KIR2DS3*0010313
KIR01234,KIR2DS3*0010314
KIR01235,KIR2DS3*0010315
KIR01236,KIR2DS3*0010316
KIR01238,KIR2DS3*0010317
KIR01241,KIR2DS3*0010318
KIR01242,KIR2DS3*0010319
KIR01244,KIR2DS3*0010320
KIR01245,KIR2DS3*0010321
KIR00272,KIR2DS3*00104
KIR00321,KIR2DS3*00105
KIR00322,KIR2DS3*00106
KIR01320,KIR2DS3*00107
KIR01321,KIR2DS3*00108
KIR01226,KIR2DS3*00109
KIR01232,KIR2DS3*00110
KIR01239,KIR2DS3*00111
KIR01250,KIR2DS3*0011201
KIR01229,KIR2DS3*0011202
KIR01319,KIR2DS3*0011301
KIR01237,KIR2DS3*0011302
KIR00131,KIR2DS3*0020101
KIR00429,KIR2DS3*0020102
KIR00652,KIR2DS3*0020103
KIR01304,KIR2DS3*0020104
KIR01305,KIR2DS3*0020105
KIR01307,KIR2DS3*0020106
KIR01308,KIR2DS3*0020107
KIR01312,KIR2DS3*0020108
KIR01313,KIR2DS3*0020109
KIR01309,KIR2DS3*00202
KIR00232,KIR2DS3*0030101N
KIR01577,KIR2DS3*0030102N
KIR00273,KIR2DS3*004
KIR00529,KIR2DS3*005
KIR00663,KIR2DS3*006
KIR00699,KIR2DS3*007
KIR00885,KIR2DS3*008
KIR01227,KIR2DS3*009
KIR01314,KIR2DS3*010
KIR01317,KIR2DS3*011
KIR01324,KIR2DS3*012
KIR01327,KIR2DS3*013
KIR01328,KIR2DS3*014
KIR01224,KIR2DS3*015
KIR01225,KIR2DS3*016
KIR01228,KIR2DS3*017
KIR01230,KIR2DS3*018
KIR01233,KIR2DS3*019
KIR01246,KIR2DS3*020
KIR01240,KIR2DS3*0210101
KIR01306,KIR2DS3*0210102
KIR01248,KIR2DS3*0220101
KIR01247,KIR2DS3*0220102
KIR01249,KIR2DS3*0220103
KIR01579,KIR2DS3*023
KIR01580,KIR2DS3*024
KIR00045,KIR2DS4*0010101
KIR00092,KIR2DS4*0010102
KIR00099,KIR2DS4*0010103
KIR00452,KIR2DS4*0010104
KIR00453,KIR2DS4*0010105
KIR00496,KIR2DS4*0010106
KIR00499,KIR2DS4*0010107
KIR00498,KIR2DS4*0010108
KIR00497,KIR2DS4*0010109
KIR00046,KIR2DS4*00102
KIR00274,KIR2DS4*00103
KIR00327,KIR2DS4*00104
KIR00820,KIR2DS4*00105
KIR00947,KIR2DS4*00106
KIR00048,KIR2DS4*0030101
KIR00318,KIR2DS4*0030102
KIR00430,KIR2DS4*0030103
KIR00431,KIR2DS4*0030104
KIR00089,KIR2DS4*0040101
KIR00637,KIR2DS4*0040102
KIR00090,KIR2DS4*0060101
KIR00651,KIR2DS4*0060102
KIR00132,KIR2DS4*007
KIR00258,KIR2DS4*008
KIR00275,KIR2DS4*009
KIR00315,KIR2DS4*010
KIR00320,KIR2DS4*01101
KIR00341,KIR2DS4*01102
KIR00323,KIR2DS4*012
KIR00338,KIR2DS4*013
KIR00340,KIR2DS4*014
KIR00342,KIR2DS4*015
KIR00731,KIR2DS4*016
KIR00819,KIR2DS4*017
KIR00821,KIR2DS4*018
KIR00995,KIR2DS4*019
KIR00996,KIR2DS4*020
KIR01583,KIR2DS4*021
KIR01581,KIR2DS4*022
KIR01686,KIR2DS4*023
KIR01688,KIR2DS4*024
KIR00049,KIR2DS5*001
KIR00050,KIR2DS5*0020101
KIR00299,KIR2DS5*0020102
KIR00297,KIR2DS5*0020103
KIR00433,KIR2DS5*0020104
KIR01467,KIR2DS5*0020105
KIR01468,KIR2DS5*0020106
KIR01470,KIR2DS5*0020107
KIR01472,KIR2DS5*0020108
KIR01473,KIR2DS5*0020109
KIR01475,KIR2DS5*0020110
KIR01476,KIR2DS5*0020111
KIR01479,KIR2DS5*0020112
KIR01482,KIR2DS5*0020113
KIR01484,KIR2DS5*0020114
KIR01488,KIR2DS5*0020115
KIR01490,KIR2DS5*0020116
KIR01491,KIR2DS5*0020117
KIR01493,KIR2DS5*0020118
KIR01498,KIR2DS5*0020119
KIR01500,KIR2DS5*0020120
KIR01502,KIR2DS5*0020121
KIR01505,KIR2DS5*0020122
KIR01507,KIR2DS5*0020123
KIR01508,KIR2DS5*0020124
KIR01509,KIR2DS5*0020125
KIR01511,KIR2DS5*0020126
KIR01512,KIR2DS5*0020127
KIR01514,KIR2DS5*0020128
KIR01515,KIR2DS5*0020129
KIR01523,KIR2DS5*0020130
KIR01524,KIR2DS5*0020131
KIR01525,KIR2DS5*0020132
KIR01529,KIR2DS5*0020133
KIR00532,KIR2DS5*00202
KIR01477,KIR2DS5*00203
KIR01481,KIR2DS5*00204
KIR01495,KIR2DS5*0020501
KIR01520,KIR2DS5*0020502
KIR01492,KIR2DS5*0020503
KIR01499,KIR2DS5*00206
KIR01504,KIR2DS5*0020701
KIR01517,KIR2DS5*0020702
KIR00051,KIR2DS5*003
KIR00100,KIR2DS5*004
KIR00101,KIR2DS5*00501
KIR00706,KIR2DS5*00502
