# file: allele_oid.txt
# date: 2022-12-12
# version: IPD-KIR 2.12.0
# origin: https://github.com/ANHIG/IPDKIR/allele_oid.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/allele_oid.txt
# author: Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
Allele,OID
KIR2DL1*01202,2.16.840.1.113883.13.252.2.1.574
KIR2DL1*013N,2.16.840.1.113883.13.252.2.1.332
KIR2DL1*014,2.16.840.1.113883.13.252.2.1.333
KIR2DL1*015,2.16.840.1.113883.13.252.2.1.334
KIR2DL1*016,2.16.840.1.113883.13.252.2.1.349
KIR2DL1*017,2.16.840.1.113883.13.252.2.1.350
KIR2DL1*018,2.16.840.1.113883.13.252.2.1.351
KIR2DL1*019,2.16.840.1.113883.13.252.2.1.352
KIR2DL1*020,2.16.840.1.113883.13.252.2.1.518
KIR2DL1*021,2.16.840.1.113883.13.252.2.1.519
KIR2DL1*02201,2.16.840.1.113883.13.252.2.1.577
KIR2DL1*02202,2.16.840.1.113883.13.252.2.1.956
KIR2DL1*023,2.16.840.1.113883.13.252.2.1.575
KIR2DL1*024,2.16.840.1.113883.13.252.2.1.576
KIR2DL1*025,2.16.840.1.113883.13.252.2.1.617
KIR2DL1*026,2.16.840.1.113883.13.252.2.1.677
KIR2DL1*027,2.16.840.1.113883.13.252.2.1.798
KIR2DL1*028,2.16.840.1.113883.13.252.2.1.799
KIR2DL1*029,2.16.840.1.113883.13.252.2.1.800
KIR2DL1*030,2.16.840.1.113883.13.252.2.1.817
KIR2DL1*031,2.16.840.1.113883.13.252.2.1.818
KIR2DL1*0320101N,2.16.840.1.113883.13.252.2.1.865
KIR2DL1*0320102N,2.16.840.1.113883.13.252.2.1.1566
KIR2DL1*0320103N,2.16.840.1.113883.13.252.2.1.1565
KIR2DL1*033,2.16.840.1.113883.13.252.2.1.899
KIR2DL1*034,2.16.840.1.113883.13.252.2.1.900
KIR2DL1*035,2.16.840.1.113883.13.252.2.1.954
KIR2DL1*036,2.16.840.1.113883.13.252.2.1.955
KIR2DL1*0370101,2.16.840.1.113883.13.252.2.1.980
KIR2DL1*0370102,2.16.840.1.113883.13.252.2.1.1550
KIR2DL1*038,2.16.840.1.113883.13.252.2.1.981
KIR2DL1*039,2.16.840.1.113883.13.252.2.1.1538
KIR2DL1*040,2.16.840.1.113883.13.252.2.1.1541
KIR2DL1*041,2.16.840.1.113883.13.252.2.1.1571
KIR2DL1*042,2.16.840.1.113883.13.252.2.1.1533
KIR2DL1*0430101,2.16.840.1.113883.13.252.2.1.1558
KIR2DL1*0430102,2.16.840.1.113883.13.252.2.1.1553
KIR2DL1*044,2.16.840.1.113883.13.252.2.1.1532
KIR2DL1*0450101N,2.16.840.1.113883.13.252.2.1.1564
KIR2DL1*0450102N,2.16.840.1.113883.13.252.2.1.1569
KIR2DL1*0450103N,2.16.840.1.113883.13.252.2.1.1570
KIR2DL1*046,2.16.840.1.113883.13.252.2.1.1568
KIR2DL1*0470101,2.16.840.1.113883.13.252.2.1.1567
KIR2DL1*0470102,2.16.840.1.113883.13.252.2.1.1548
KIR2DL1*048,2.16.840.1.113883.13.252.2.1.1534
KIR2DL1*049,2.16.840.1.113883.13.252.2.1.1535
KIR2DL1*050,2.16.840.1.113883.13.252.2.1.1536
KIR2DL1*0510101,2.16.840.1.113883.13.252.2.1.1562
KIR2DL1*0510102,2.16.840.1.113883.13.252.2.1.1540
KIR2DL1*052,2.16.840.1.113883.13.252.2.1.1539
KIR2DL1*053,2.16.840.1.113883.13.252.2.1.1542
KIR2DL1*0540101,2.16.840.1.113883.13.252.2.1.1543
KIR2DL1*0540102,2.16.840.1.113883.13.252.2.1.1537
KIR2DL1*055,2.16.840.1.113883.13.252.2.1.1544
KIR2DL1*056,2.16.840.1.113883.13.252.2.1.1545
KIR2DL1*057,2.16.840.1.113883.13.252.2.1.1547
KIR2DL1*058,2.16.840.1.113883.13.252.2.1.1551
KIR2DL1*0590101,2.16.840.1.113883.13.252.2.1.1555
KIR2DL1*0590102,2.16.840.1.113883.13.252.2.1.1556
KIR2DL1*060,2.16.840.1.113883.13.252.2.1.1557
KIR2DL1*061,2.16.840.1.113883.13.252.2.1.1559
KIR2DL1*062,2.16.840.1.113883.13.252.2.1.1560
KIR2DL1*063,2.16.840.1.113883.13.252.2.1.1561
KIR2DL1*0640101,2.16.840.1.113883.13.252.2.1.1549
KIR2DL1*0640102,2.16.840.1.113883.13.252.2.1.1546
KIR2DL1*065,2.16.840.1.113883.13.252.2.1.1585
KIR2DL1*066,2.16.840.1.113883.13.252.2.1.1597
KIR2DL1*067,2.16.840.1.113883.13.252.2.1.1599
KIR2DL1*068,2.16.840.1.113883.13.252.2.1.1603
KIR2DL1*069,2.16.840.1.113883.13.252.2.1.1628
KIR2DL1*070,2.16.840.1.113883.13.252.2.1.1620
KIR2DL1*071,2.16.840.1.113883.13.252.2.1.1624
KIR2DL1*072,2.16.840.1.113883.13.252.2.1.1612
KIR2DL1*073,2.16.840.1.113883.13.252.2.1.1616
KIR2DL1*074,2.16.840.1.113883.13.252.2.1.1617
KIR2DL1*075,2.16.840.1.113883.13.252.2.1.1682
KIR2DL1*076,2.16.840.1.113883.13.252.2.1.1683
KIR2DL1*077,2.16.840.1.113883.13.252.2.1.1684
KIR2DL2*0010101,2.16.840.1.113883.13.252.2.1.10
KIR2DL2*0010102,2.16.840.1.113883.13.252.2.1.405
KIR2DL2*0010103,2.16.840.1.113883.13.252.2.1.407
KIR2DL2*0010104,2.16.840.1.113883.13.252.2.1.410
KIR2DL2*0010105,2.16.840.1.113883.13.252.2.1.618
KIR2DL2*0010106,2.16.840.1.113883.13.252.2.1.645
KIR2DL2*0010107,2.16.840.1.113883.13.252.2.1.630
KIR2DL2*00102,2.16.840.1.113883.13.252.2.1.324
KIR2DL2*00103,2.16.840.1.113883.13.252.2.1.850
KIR2DL2*002,2.16.840.1.113883.13.252.2.1.11
KIR2DL2*0030101,2.16.840.1.113883.13.252.2.1.12
KIR2DL2*0030102,2.16.840.1.113883.13.252.2.1.316
KIR2DL2*0030103,2.16.840.1.113883.13.252.2.1.335
KIR2DL2*0030104,2.16.840.1.113883.13.252.2.1.406
KIR2DL2*0030105,2.16.840.1.113883.13.252.2.1.408
KIR2DL2*0030106,2.16.840.1.113883.13.252.2.1.409
KIR2DL2*0030107,2.16.840.1.113883.13.252.2.1.411
KIR2DL2*0030108,2.16.840.1.113883.13.252.2.1.1089
KIR2DL2*00302,2.16.840.1.113883.13.252.2.1.587
KIR2DL2*00303,2.16.840.1.113883.13.252.2.1.653
KIR2DL2*00304,2.16.840.1.113883.13.252.2.1.654
KIR2DL2*004,2.16.840.1.113883.13.252.2.1.13
KIR2DL2*005,2.16.840.1.113883.13.252.2.1.96
KIR2DL2*00601,2.16.840.1.113883.13.252.2.1.325
KIR2DL2*00602,2.16.840.1.113883.13.252.2.1.326
KIR2DL2*007,2.16.840.1.113883.13.252.2.1.328
KIR2DL2*008,2.16.840.1.113883.13.252.2.1.584
KIR2DL2*009,2.16.840.1.113883.13.252.2.1.585
KIR2DL2*010,2.16.840.1.113883.13.252.2.1.586
KIR2DL2*011,2.16.840.1.113883.13.252.2.1.661
KIR2DL2*012,2.16.840.1.113883.13.252.2.1.678
KIR2DL2*013,2.16.840.1.113883.13.252.2.1.765
KIR2DL2*014,2.16.840.1.113883.13.252.2.1.984
KIR2DL2*015,2.16.840.1.113883.13.252.2.1.985
KIR2DL2*016,2.16.840.1.113883.13.252.2.1.1691
KIR2DL3*0010101,2.16.840.1.113883.13.252.2.1.14
KIR2DL3*0010102,2.16.840.1.113883.13.252.2.1.412
KIR2DL3*0010103,2.16.840.1.113883.13.252.2.1.413
KIR2DL3*0010104,2.16.840.1.113883.13.252.2.1.415
KIR2DL3*0010105,2.16.840.1.113883.13.252.2.1.416
KIR2DL3*0010106,2.16.840.1.113883.13.252.2.1.417
KIR2DL3*0010107,2.16.840.1.113883.13.252.2.1.418
KIR2DL3*0010108,2.16.840.1.113883.13.252.2.1.419
KIR2DL3*0010109,2.16.840.1.113883.13.252.2.1.619
KIR2DL3*0010110,2.16.840.1.113883.13.252.2.1.631
KIR2DL3*0010111,2.16.840.1.113883.13.252.2.1.657
KIR2DL3*0010112,2.16.840.1.113883.13.252.2.1.1064
KIR2DL3*0010113,2.16.840.1.113883.13.252.2.1.1072
KIR2DL3*0010114,2.16.840.1.113883.13.252.2.1.1080
KIR2DL3*0010115,2.16.840.1.113883.13.252.2.1.1101
KIR2DL3*00102,2.16.840.1.113883.13.252.2.1.566
KIR2DL3*00103,2.16.840.1.113883.13.252.2.1.569
KIR2DL3*00104,2.16.840.1.113883.13.252.2.1.656
KIR2DL3*00105,2.16.840.1.113883.13.252.2.1.671
KIR2DL3*00106,2.16.840.1.113883.13.252.2.1.689
KIR2DL3*00107,2.16.840.1.113883.13.252.2.1.691
KIR2DL3*00108,2.16.840.1.113883.13.252.2.1.695
KIR2DL3*00109,2.16.840.1.113883.13.252.2.1.732
KIR2DL3*00110,2.16.840.1.113883.13.252.2.1.734
KIR2DL3*00111,2.16.840.1.113883.13.252.2.1.1618
KIR2DL3*00112,2.16.840.1.113883.13.252.2.1.1621
KIR2DL3*0020101,2.16.840.1.113883.13.252.2.1.15
KIR2DL3*0020102,2.16.840.1.113883.13.252.2.1.435
KIR2DL3*0020103,2.16.840.1.113883.13.252.2.1.646
KIR2DL3*003,2.16.840.1.113883.13.252.2.1.16
KIR2DL3*004,2.16.840.1.113883.13.252.2.1.17
KIR2DL3*00501,2.16.840.1.113883.13.252.2.1.18
KIR2DL3*00502,2.16.840.1.113883.13.252.2.1.806
KIR2DL3*00503,2.16.840.1.113883.13.252.2.1.1681
KIR2DL3*006,2.16.840.1.113883.13.252.2.1.19
KIR2DL3*007,2.16.840.1.113883.13.252.2.1.128
KIR2DL3*008N,2.16.840.1.113883.13.252.2.1.313
KIR2DL3*009,2.16.840.1.113883.13.252.2.1.314
KIR2DL3*010,2.16.840.1.113883.13.252.2.1.414
KIR2DL3*011,2.16.840.1.113883.13.252.2.1.567
KIR2DL3*01201,2.16.840.1.113883.13.252.2.1.568
KIR2DL3*01202,2.16.840.1.113883.13.252.2.1.660
KIR2DL3*013,2.16.840.1.113883.13.252.2.1.570
KIR2DL3*014,2.16.840.1.113883.13.252.2.1.571
KIR2DL3*015,2.16.840.1.113883.13.252.2.1.588
KIR2DL3*016,2.16.840.1.113883.13.252.2.1.589
KIR2DL3*017,2.16.840.1.113883.13.252.2.1.655
KIR2DL3*01801,2.16.840.1.113883.13.252.2.1.659
KIR2DL3*01802,2.16.840.1.113883.13.252.2.1.895
KIR2DL3*019,2.16.840.1.113883.13.252.2.1.687
KIR2DL3*020,2.16.840.1.113883.13.252.2.1.693
KIR2DL3*021,2.16.840.1.113883.13.252.2.1.697
KIR2DL3*022,2.16.840.1.113883.13.252.2.1.683
KIR2DL3*023,2.16.840.1.113883.13.252.2.1.703
KIR2DL3*024,2.16.840.1.113883.13.252.2.1.704
KIR2DL3*025,2.16.840.1.113883.13.252.2.1.733
KIR2DL3*026,2.16.840.1.113883.13.252.2.1.735
KIR2DL3*027,2.16.840.1.113883.13.252.2.1.736
KIR2DL3*028,2.16.840.1.113883.13.252.2.1.737
KIR2DL3*029,2.16.840.1.113883.13.252.2.1.738
KIR2DL3*030,2.16.840.1.113883.13.252.2.1.739
KIR2DL3*031,2.16.840.1.113883.13.252.2.1.740
KIR2DL3*032,2.16.840.1.113883.13.252.2.1.741
KIR2DL3*033,2.16.840.1.113883.13.252.2.1.849
KIR2DL3*034,2.16.840.1.113883.13.252.2.1.879
KIR2DL3*035,2.16.840.1.113883.13.252.2.1.945
KIR2DL3*036,2.16.840.1.113883.13.252.2.1.1116
KIR2DL3*037,2.16.840.1.113883.13.252.2.1.1614
KIR2DL4*00101,2.16.840.1.113883.13.252.2.1.20
KIR2DL4*0010201,2.16.840.1.113883.13.252.2.1.21
KIR2DL4*0010202,2.16.840.1.113883.13.252.2.1.424
KIR2DL4*0010203,2.16.840.1.113883.13.252.2.1.1133
KIR2DL4*0010301,2.16.840.1.113883.13.252.2.1.112
KIR2DL4*0010302,2.16.840.1.113883.13.252.2.1.115
KIR2DL4*0010303,2.16.840.1.113883.13.252.2.1.420
KIR2DL4*0010304,2.16.840.1.113883.13.252.2.1.421
KIR2DL4*0010305,2.16.840.1.113883.13.252.2.1.422
KIR2DL4*0010306,2.16.840.1.113883.13.252.2.1.423
KIR2DL4*0010307,2.16.840.1.113883.13.252.2.1.425
KIR2DL4*0010308,2.16.840.1.113883.13.252.2.1.620
KIR2DL4*0010309,2.16.840.1.113883.13.252.2.1.1134
KIR2DL4*00104,2.16.840.1.113883.13.252.2.1.119
KIR2DL4*00105,2.16.840.1.113883.13.252.2.1.129
KIR2DL4*00106,2.16.840.1.113883.13.252.2.1.969
KIR2DL4*00107,2.16.840.1.113883.13.252.2.1.1135
KIR2DL4*00108,2.16.840.1.113883.13.252.2.1.1613
KIR2DL4*00201,2.16.840.1.113883.13.252.2.1.22
KIR2DL4*00202,2.16.840.1.113883.13.252.2.1.23
KIR2DL4*003,2.16.840.1.113883.13.252.2.1.24
KIR2DL4*004,2.16.840.1.113883.13.252.2.1.25
KIR2DL4*0050101,2.16.840.1.113883.13.252.2.1.26
KIR2DL4*0050102,2.16.840.1.113883.13.252.2.1.1136
KIR2DL4*0050103,2.16.840.1.113883.13.252.2.1.1137
KIR2DL4*0050104,2.16.840.1.113883.13.252.2.1.1138
KIR2DL4*0050105,2.16.840.1.113883.13.252.2.1.1139
KIR2DL4*0050106,2.16.840.1.113883.13.252.2.1.1140
KIR2DL4*0050107,2.16.840.1.113883.13.252.2.1.1141
KIR2DL4*00503,2.16.840.1.113883.13.252.2.1.901
KIR2DL4*00504,2.16.840.1.113883.13.252.2.1.902
KIR2DL4*00601,2.16.840.1.113883.13.252.2.1.27
KIR2DL4*0060201,2.16.840.1.113883.13.252.2.1.130
KIR2DL4*0060202,2.16.840.1.113883.13.252.2.1.1142
KIR2DL4*00603,2.16.840.1.113883.13.252.2.1.913
KIR2DL4*00604,2.16.840.1.113883.13.252.2.1.1143
KIR2DL4*007,2.16.840.1.113883.13.252.2.1.28
KIR2DL4*0080101,2.16.840.1.113883.13.252.2.1.109
KIR2DL4*0080102,2.16.840.1.113883.13.252.2.1.110
KIR2DL4*0080103,2.16.840.1.113883.13.252.2.1.117
KIR2DL4*0080104,2.16.840.1.113883.13.252.2.1.213
KIR2DL4*0080105,2.16.840.1.113883.13.252.2.1.436
KIR2DL4*0080106,2.16.840.1.113883.13.252.2.1.1144
KIR2DL4*0080107,2.16.840.1.113883.13.252.2.1.1145
KIR2DL4*0080108,2.16.840.1.113883.13.252.2.1.1146
KIR2DL4*0080201,2.16.840.1.113883.13.252.2.1.111
KIR2DL4*0080202,2.16.840.1.113883.13.252.2.1.116
KIR2DL4*0080203,2.16.840.1.113883.13.252.2.1.437
KIR2DL4*0080204,2.16.840.1.113883.13.252.2.1.647
KIR2DL4*0080205,2.16.840.1.113883.13.252.2.1.1147
KIR2DL4*0080206,2.16.840.1.113883.13.252.2.1.1148
KIR2DL4*0080207,2.16.840.1.113883.13.252.2.1.1149
KIR2DL4*0080208,2.16.840.1.113883.13.252.2.1.1150
KIR2DL4*00803,2.16.840.1.113883.13.252.2.1.1151
KIR2DL4*0080401,2.16.840.1.113883.13.252.2.1.1152
KIR2DL4*0080402,2.16.840.1.113883.13.252.2.1.1153
KIR2DL4*00805,2.16.840.1.113883.13.252.2.1.1154
KIR2DL4*00901,2.16.840.1.113883.13.252.2.1.118
KIR2DL4*00902,2.16.840.1.113883.13.252.2.1.520
KIR2DL4*010,2.16.840.1.113883.13.252.2.1.114
KIR2DL4*0110101,2.16.840.1.113883.13.252.2.1.113
KIR2DL4*0110102,2.16.840.1.113883.13.252.2.1.1155
KIR2DL4*0110103,2.16.840.1.113883.13.252.2.1.1156
KIR2DL4*0110104,2.16.840.1.113883.13.252.2.1.1595
KIR2DL4*01102,2.16.840.1.113883.13.252.2.1.991
KIR2DL4*01201,2.16.840.1.113883.13.252.2.1.212
KIR2DL4*01202,2.16.840.1.113883.13.252.2.1.593
KIR2DL4*013,2.16.840.1.113883.13.252.2.1.512
KIR2DL4*014,2.16.840.1.113883.13.252.2.1.521
KIR2DL4*015,2.16.840.1.113883.13.252.2.1.522
KIR2DL4*016,2.16.840.1.113883.13.252.2.1.523
KIR2DL4*017,2.16.840.1.113883.13.252.2.1.591
KIR2DL4*018,2.16.840.1.113883.13.252.2.1.592
KIR2DL4*019,2.16.840.1.113883.13.252.2.1.594
KIR2DL4*020,2.16.840.1.113883.13.252.2.1.595
KIR2DL4*021,2.16.840.1.113883.13.252.2.1.596
KIR2DL4*022,2.16.840.1.113883.13.252.2.1.590
KIR2DL4*023,2.16.840.1.113883.13.252.2.1.668
KIR2DL4*024,2.16.840.1.113883.13.252.2.1.670
KIR2DL4*025,2.16.840.1.113883.13.252.2.1.672
KIR2DL4*026,2.16.840.1.113883.13.252.2.1.674
KIR2DL4*027,2.16.840.1.113883.13.252.2.1.675
KIR2DL4*028,2.16.840.1.113883.13.252.2.1.748
KIR2DL4*029,2.16.840.1.113883.13.252.2.1.826
KIR2DL4*030,2.16.840.1.113883.13.252.2.1.830
KIR2DL4*031,2.16.840.1.113883.13.252.2.1.828
KIR2DL4*032,2.16.840.1.113883.13.252.2.1.904
KIR2DL4*033,2.16.840.1.113883.13.252.2.1.905
KIR2DL4*034,2.16.840.1.113883.13.252.2.1.903
KIR2DL4*035,2.16.840.1.113883.13.252.2.1.909
KIR2DL4*036,2.16.840.1.113883.13.252.2.1.912
KIR2DL4*037,2.16.840.1.113883.13.252.2.1.914
KIR2DL4*038,2.16.840.1.113883.13.252.2.1.928
KIR2DL4*039,2.16.840.1.113883.13.252.2.1.967
KIR2DL4*040,2.16.840.1.113883.13.252.2.1.968
KIR2DL4*041,2.16.840.1.113883.13.252.2.1.990
KIR2DL4*042,2.16.840.1.113883.13.252.2.1.1157
KIR2DL4*043,2.16.840.1.113883.13.252.2.1.1158
KIR2DL4*044,2.16.840.1.113883.13.252.2.1.1159
KIR2DL4*045,2.16.840.1.113883.13.252.2.1.1160
KIR2DL4*046,2.16.840.1.113883.13.252.2.1.1161
KIR2DL4*047,2.16.840.1.113883.13.252.2.1.1162
KIR2DL4*048,2.16.840.1.113883.13.252.2.1.1163
KIR2DL4*049,2.16.840.1.113883.13.252.2.1.1164
KIR2DL4*050,2.16.840.1.113883.13.252.2.1.1165
KIR2DL4*051,2.16.840.1.113883.13.252.2.1.1166
KIR2DL4*052,2.16.840.1.113883.13.252.2.1.1167
KIR2DL4*053,2.16.840.1.113883.13.252.2.1.1168
KIR2DL4*054,2.16.840.1.113883.13.252.2.1.1169
KIR2DL4*055,2.16.840.1.113883.13.252.2.1.1586
KIR2DL4*056,2.16.840.1.113883.13.252.2.1.1582
KIR2DL4*057,2.16.840.1.113883.13.252.2.1.1601
KIR2DL4*058,2.16.840.1.113883.13.252.2.1.1602
KIR2DL4*059,2.16.840.1.113883.13.252.2.1.1690
KIR2DL5A*0010101,2.16.840.1.113883.13.252.2.1.29
KIR2DL5A*0010102,2.16.840.1.113883.13.252.2.1.300
KIR2DL5A*0010103,2.16.840.1.113883.13.252.2.1.439
KIR2DL5A*0010104,2.16.840.1.113883.13.252.2.1.1039
KIR2DL5A*0010105,2.16.840.1.113883.13.252.2.1.1041
KIR2DL5A*0010106,2.16.840.1.113883.13.252.2.1.1217
KIR2DL5A*00102,2.16.840.1.113883.13.252.2.1.259
KIR2DL5A*00103,2.16.840.1.113883.13.252.2.1.260
KIR2DL5A*00104,2.16.840.1.113883.13.252.2.1.262
KIR2DL5A*00105,2.16.840.1.113883.13.252.2.1.263
KIR2DL5A*00106,2.16.840.1.113883.13.252.2.1.1201
KIR2DL5A*00107,2.16.840.1.113883.13.252.2.1.1214
KIR2DL5A*00108,2.16.840.1.113883.13.252.2.1.1218
KIR2DL5A*0010901,2.16.840.1.113883.13.252.2.1.1196
KIR2DL5A*0010902,2.16.840.1.113883.13.252.2.1.1219
KIR2DL5A*0050101,2.16.840.1.113883.13.252.2.1.95
KIR2DL5A*0050102,2.16.840.1.113883.13.252.2.1.249
KIR2DL5A*0050103,2.16.840.1.113883.13.252.2.1.438
